s  n(s, p, L)
88  0.044347164065473926
84  0.004567948229920061
1  0.04158736200989722
85  0.008660068519223449
94  0.11115340692805481
90  0.09554625047582795
93  0.13094784925770842
92  0.14265321659687857
97  0.024172059383326987
89  0.0726113437381043
95  0.08231823372668443
91  0.12095546250475828
99  0.0021888085268366958
96  0.05262657023220404
87  0.028264179672630375
98  0.009040730871716788
2  0.003616292348686715
83  0.0016178149980966882
81  0.0007613247049866769
86  0.01712980586220023
100  0.00019033117624666921
3  0.002379139703083365
5  9.516558812333461e-05
4  0.00038066235249333843
82  0.0016178149980966882
79  9.516558812333461e-05
7  9.516558812333461e-05
6  0.00019033117624666921
77  9.516558812333461e-05
80  9.516558812333461e-05
