s  n(s, p, L)
1  0.5644892503403313
5  0.03594211077977434
3  0.0938195409716005
6  0.023881368525479806
2  0.166301971894717
7  0.016283500841715946
4  0.056436580175081234
9  0.00813928453142938
10  0.005890701608730851
8  0.01145035756167305
13  0.002362553249726325
17  0.0007631157191049869
18  0.0005910428724159597
16  0.0010024611117678253
11  0.004300665281556025
14  0.0017845333558551234
12  0.003165277317778092
21  0.000266624294466652
15  0.0013536191782084418
19  0.0004650513344237702
23  0.0001612845804389314
22  0.00020798236149291728
27  6.0953704313040965e-05
20  0.0003543174872710017
33  1.3947687080480928e-05
24  0.00013223332060831642
25  0.00010009969899195982
29  3.5678337669959505e-05
34  1.0942384339382827e-05
26  7.69819855988975e-05
37  5.625310258978496e-06
31  2.2424181991270443e-05
28  4.623542678612462e-05
30  2.5429484732368543e-05
40  2.3888303839497722e-06
38  3.775893187533511e-06
32  1.7646521223370898e-05
41  2.003535160732067e-06
39  3.621775098246429e-06
42  1.849417071444985e-06
36  7.320609241136399e-06
35  9.63238058044263e-06
61  7.705904464354104e-08
49  3.8529522321770523e-07
45  1.541180892870821e-06
66  7.705904464354104e-08
44  1.4641218482272798e-06
47  7.705904464354105e-07
43  1.0788266250095745e-06
48  3.0823617857416416e-07
46  8.476494910789514e-07
51  3.0823617857416416e-07
53  3.0823617857416416e-07
60  7.705904464354104e-08
50  4.6235426786124624e-07
55  7.705904464354104e-08
56  7.705904464354104e-08
52  1.5411808928708208e-07
