s  n(s, p, L)
39  0.0035460992907801418
19  0.0070921985815602835
1  0.5425531914893617
2  0.13829787234042554
33  0.0070921985815602835
24  0.0035460992907801418
20  0.0070921985815602835
13  0.014184397163120567
4  0.05319148936170213
37  0.0070921985815602835
3  0.04609929078014184
9  0.0070921985815602835
186  0.0035460992907801418
321  0.0035460992907801418
31  0.0070921985815602835
12  0.014184397163120567
6  0.014184397163120567
7  0.010638297872340425
761  0.0035460992907801418
26  0.0070921985815602835
40  0.0070921985815602835
84  0.0035460992907801418
8  0.014184397163120567
11  0.0035460992907801418
15  0.0035460992907801418
5  0.02127659574468085
25  0.0035460992907801418
10  0.0035460992907801418
146  0.0035460992907801418
97  0.0035460992907801418
48  0.0035460992907801418
16  0.0035460992907801418
51  0.0035460992907801418
14  0.0035460992907801418
144  0.0035460992907801418
41  0.0035460992907801418
18  0.0035460992907801418
32  0.0035460992907801418
2877  0.0035460992907801418
