s  n(s, p, L)
3  0.08698033217195894
2  0.13438895655704425
7  0.02591847718324222
6  0.03371762550869142
1  0.4452690517330916
18  0.0049098754591205655
14  0.008450651030601743
4  0.06127902255710091
5  0.04256484340329906
11  0.013200011330481829
17  0.00596738709646961
9  0.01769443578921527
12  0.010801726010065245
15  0.006930478051912491
10  0.014710742240980464
28  0.0019733922518388428
13  0.008884986167370101
25  0.002634337025181996
24  0.0028042942526130925
34  0.0013879840240206215
21  0.0035596597078624104
27  0.0022094439566042547
19  0.004031763117393234
20  0.00423004654939618
8  0.02173564097479912
38  0.0009158806144897978
23  0.0033047238667157654
52  0.00021716756838417888
16  0.006165670528472556
44  0.00039656686400589184
26  0.0025682425478476805
46  0.0004248930685777413
33  0.0012935633421144567
50  0.00021716756838417888
32  0.001501288842308019
29  0.0017278984788828145
31  0.0015484991832611014
37  0.0009819750918241131
36  0.001199142660208292
42  0.0005665240914369884
48  0.0003776827276246589
22  0.003219745253000217
47  0.0002832620457184942
30  0.0016429198651672662
35  0.0011519323192552098
45  0.0004721034095308236
40  0.0007364813188680849
39  0.0008025757962024002
49  0.0002738199775278777
41  0.000538197886865139
43  0.000500429614102673
53  0.0001038627500967812
59  3.776827276246589e-05
55  9.442068190616472e-05
69  9.442068190616472e-06
51  0.00019828343200294592
57  5.665240914369884e-05
54  8.497861371554826e-05
58  2.832620457184942e-05
61  3.776827276246589e-05
56  2.832620457184942e-05
62  1.8884136381232944e-05
64  9.442068190616472e-06
60  1.8884136381232944e-05
68  9.442068190616472e-06
