s  n(s, p, L)
80  0.011450381679389313
4  0.02720480753613773
71  0.022048075361377293
76  0.022981971739483516
1  0.3429835959070976
70  0.020423907747279518
2  0.07735098262140654
73  0.0252558063992204
78  0.01810946889719019
74  0.025296410589572844
3  0.04807536137729414
67  0.013764820529478642
8  0.007917817118726652
62  0.0071057333116777656
72  0.02387526392723729
7  0.011206756537274647
37  0.0009338963781062205
24  0.0012587299009257755
69  0.017297385090141303
44  0.0007714796166964431
5  0.02005847003410752
11  0.004344648367711547
81  0.007308754263439987
39  0.0006902712359915543
66  0.01132856910833198
57  0.0030859184667857724
14  0.0025986681825564397
77  0.020667532889394186
63  0.00872990092577554
68  0.016728926425207083
83  0.0035325645606626606
64  0.009501380542471983
12  0.0036543771317199933
36  0.0010557089491635538
9  0.00584700341075199
79  0.01429267500406042
75  0.0248903686860484
19  0.0014617508526879974
47  0.0012993340912782199
25  0.0010557089491635538
15  0.0022332304693844403
43  0.001096313139515998
65  0.011978236153971089
6  0.013764820529478642
58  0.0038573980834822152
16  0.0027610849439662173
59  0.004913107032645769
60  0.00548156569757999
41  0.0008526879974013319
13  0.0030859184667857724
10  0.0051973363651128795
45  0.0011369173298684423
50  0.0018271885658599967
84  0.001867792756212441
51  0.0015835634237453306
61  0.006334253694981322
82  0.005075523794055546
48  0.0014617508526879974
21  0.0011369173298684423
38  0.0009338963781062205
54  0.003045314276433328
17  0.001745980185155108
56  0.002923501705375995
26  0.0009338963781062205
46  0.002030209517622219
18  0.0016647718044502193
55  0.002964105895728439
86  0.0006090628552866656
53  0.0022738346597368847
40  0.0010151047588111094
32  0.0008526879974013319
30  0.0010151047588111094
31  0.0009745005684586649
27  0.0006902712359915543
33  0.0011369173298684423
28  0.0008932921877537762
23  0.0008526879974013319
85  0.001096313139515998
49  0.0014617508526879974
20  0.0012587299009257755
22  0.0008932921877537762
35  0.0009745005684586649
52  0.002192626279031996
29  0.0008526879974013319
42  0.0008526879974013319
87  0.0002842293324671106
34  0.00048725028422933245
