s  n(s, p, L)
2  0.17499254450755605
3  0.09278793805352697
1  0.5958845681709423
4  0.05185555070081629
6  0.019072189972882812
5  0.030792917628945343
12  0.0013523916526225995
10  0.0034468648787355483
7  0.011706856972445888
15  0.0005132152938157557
9  0.005035058152841063
16  0.0002704783305245199
8  0.007372268342245247
11  0.002344145531212506
14  0.0008114349915735597
20  8.322410169985228e-05
13  0.0010333659294398325
17  0.00027741367233284094
19  0.00010403012712481535
18  0.0001456421779747415
23  3.467670904160512e-05
22  1.3870683616642047e-05
21  4.161205084992614e-05
27  6.935341808321023e-06
30  6.935341808321023e-06
28  1.3870683616642047e-05
