s  n(s, p, L)
1  0.5570165984048286
6  0.022995779123698795
4  0.05840385511337955
2  0.17371652678205118
3  0.09538346000598015
9  0.007822876176039053
17  0.0006745057680673671
8  0.01113977567467961
5  0.035248141632303956
11  0.004193061630356932
7  0.016640126834899068
18  0.0005493397492507423
15  0.0012447065204542135
13  0.001912258620809546
19  0.00034768338560173565
12  0.0030387527901591695
10  0.005688100188444395
14  0.0016480192477522269
16  0.001015235485957068
20  0.0003337760501776662
22  0.0002294710344971455
21  0.00024337836992121496
25  6.953667712034713e-05
24  0.00018079536051290252
23  0.00012516601881662484
30  6.953667712034713e-06
26  5.56293416962777e-05
28  2.781467084813885e-05
27  2.781467084813885e-05
29  1.3907335424069426e-05
33  6.953667712034713e-06
