s  n(s, p, L)
35  0.0023404694706408756
10  0.014731190197563158
2  0.12562814070351758
1  0.42130745049448154
4  0.05665312865698355
3  0.08372914802322112
14  0.008788233404465249
5  0.03961588765746541
12  0.011048392648172369
47  0.0013882196369977742
11  0.013170877217135907
13  0.009855212133728001
49  0.001066978729262752
8  0.020983915008834127
6  0.03211261788394025
28  0.0035451228746472088
23  0.004141713131869393
7  0.025504233496248366
9  0.01654390674835364
34  0.002546981482756247
16  0.007216447534476033
46  0.00149147564305546
27  0.0038204722241343705
22  0.004199077579679218
19  0.004967761180330878
30  0.0029255868383010943
20  0.005334893646313761
37  0.002053647231591749
26  0.003155044629540396
17  0.006310089259080792
44  0.001801243661228517
41  0.0014800027534934948
53  0.0009637227232050664
32  0.002604345930566072
43  0.0014111654161217044
21  0.004577682935224065
25  0.003556595764209174
39  0.002053647231591749
18  0.005724971891420573
55  0.0007801564902136252
40  0.0016979876551708314
15  0.007824510681260182
24  0.004153186021431358
52  0.0008260480484614855
50  0.0010899245083866823
38  0.002133957458525504
29  0.0032238819669121867
36  0.0024093068080126663
33  0.002535508593194282
31  0.003132098850416466
58  0.0005392258094123586
51  0.0009637227232050664
42  0.0018815538881622725
59  0.0003900782451068126
65  9.178311649572061e-05
45  0.0015717858699892155
54  0.0007801564902136252
48  0.0011472889561965076
56  0.0006539547050320093
57  0.0005736444780982538
60  0.0002868222390491269
62  0.00026387645992519674
61  0.00027534934948716185
67  5.736444780982538e-05
63  0.00016062045386751108
64  0.00010325600605768569
69  3.441866868589523e-05
66  4.5891558247860304e-05
70  1.1472889561965076e-05
72  1.1472889561965076e-05
