s  n(s, p, L)
3  0.09666350625310398
6  0.030663536352280765
1  0.5002257438259063
7  0.022574382590636145
2  0.15598145890709889
5  0.04365133113609343
20  0.0014071365148163198
10  0.01100877391003356
12  0.007299050370972354
18  0.002054268815747889
9  0.01324363778650654
4  0.06231282074435264
35  0.00010534711875630201
21  0.0012566406308787456
22  0.000925549686216082
13  0.005342603879783888
8  0.017133956386292833
19  0.0017006034884945896
11  0.008337471970141617
15  0.0034764549189579665
31  0.00018811985492196787
14  0.004484777341339714
17  0.0025208060559543696
37  7.524794196878716e-05
27  0.0003912892982376932
26  0.0004966364169939952
30  0.00030099176787514863
34  0.00015802067813445303
23  0.0007148554487034779
24  0.000662181889325327
16  0.0028895209716014265
45  7.5247941968787154e-06
39  5.2673559378151006e-05
25  0.0006245579183409333
36  3.762397098439358e-05
42  2.2574382590636145e-05
40  6.0198353575029723e-05
29  0.00027841738528451245
28  0.00030099176787514863
32  0.00021069423751260403
33  9.78223245594233e-05
38  2.2574382590636145e-05
47  1.5049588393757431e-05
44  1.5049588393757431e-05
48  7.5247941968787154e-06
