s  n(s, p, L)
87  0.08601715487943033
89  0.06190322058585532
84  0.06829584075093058
88  0.08108108108108109
85  0.0839941738145331
92  0.021929114743486
90  0.04863246480012947
86  0.09240977504450558
91  0.033905162647677616
81  0.03293413173652695
2  0.019825214435992878
83  0.06028483573393753
1  0.14274154393914873
77  0.008739278200356044
76  0.005340670011328694
8  0.0011328693963424503
82  0.04280627933322544
93  0.010681340022657387
3  0.01157145169121217
4  0.006554458650267034
78  0.010114905324486162
79  0.01723579867292442
75  0.0033176889464314615
94  0.0046933160705615795
80  0.02354749959540379
96  0.0008091924259588931
72  0.0015374656093218968
95  0.0023466580352807897
7  0.0012947078815342288
74  0.002184819550089011
5  0.0030749312186437935
69  0.0004855154555753358
6  0.002184819550089011
73  0.0015374656093218968
71  0.0006473539407671144
9  0.0007282731833630037
24  8.09192425958893e-05
53  8.09192425958893e-05
70  0.0002427577277876679
13  0.00040459621297944654
97  8.09192425958893e-05
67  0.00040459621297944654
16  8.09192425958893e-05
59  0.0001618384851917786
10  0.00040459621297944654
66  0.0001618384851917786
65  0.0002427577277876679
21  8.09192425958893e-05
17  8.09192425958893e-05
63  0.0002427577277876679
14  8.09192425958893e-05
68  8.09192425958893e-05
11  0.0002427577277876679
33  8.09192425958893e-05
40  8.09192425958893e-05
15  0.0001618384851917786
