s  n(s, p, L)
95  0.17521494218796324
94  0.14359126395888921
97  0.13697005632967685
96  0.1800573179167902
92  0.06344500444707975
99  0.030338966301017886
98  0.08093685146753632
93  0.10890404190137365
100  0.005929439667951379
91  0.03241427018480087
85  0.0002964719833975689
2  0.0007905919557268505
89  0.008400039529597786
90  0.017590671014922423
1  0.010277695424449056
84  9.882399446585631e-05
88  0.002470599861646408
86  0.0006917679612609941
87  0.0008894159501927068
3  0.0005929439667951378
4  9.882399446585631e-05
