s  n(s, p, L)
1  0.6922095333473324
2  0.07128204299859471
1985  0.0030044096981052836
5  0.008447883183382061
1973  0.002051398019674038
1967  0.001114539081555186
2010  0.002067550759986432
3  0.031772440194478994
2032  0.0006299568721833659
1974  0.0018252596553005218
1971  0.0015829685506146118
2039  0.00033920754656027393
2004  0.0026005911902954337
7  0.0034889919074771033
1986  0.0031497843609168295
2013  0.0020837035002988255
2008  0.0025844384499830396
1978  0.0024067583065467057
8  0.0023744528259219176
2006  0.0023259946049847356
2011  0.002067550759986432
1993  0.0027459658531069795
1952  0.00046842946905942593
1991  0.0027782713337317676
2001  0.0029882569577928896
2003  0.0027621185934193736
2019  0.0012599137443667318
2000  0.0026975076321697974
1980  0.0022129254227979778
14  0.00035536028687266797
1990  0.0024875220081086754
1981  0.0024229110468590997
1994  0.00266520215154501
1997  0.0029721042174804956
2012  0.0018898706165500977
1970  0.0017929541746757338
2014  0.0020837035002988255
4  0.016750391703952577
1955  0.0007591787946825179
1945  0.000306902065935486
2005  0.0025359802290458575
1968  0.0014375938878030657
1992  0.0031820898415416176
2054  6.4610961249576e-05
2015  0.0017768014343633397
1942  0.00020998562406112197
1960  0.0007914842753073059
2007  0.0024229110468590997
1989  0.0030690206593548598
2024  0.0013406774459287017
1936  0.000129221922499152
1949  0.00041997124812224394
1984  0.0027621185934193736
1972  0.0015345103296774299
1983  0.0024390637871714938
2002  0.0028913405159185254
10  0.0011791500428047618
1995  0.0031982425818540116
1982  0.0027621185934193736
1963  0.0012437610040543377
1969  0.0013729829265534898
2031  0.0005330404303090019
2023  0.0011953027831171558
19  0.00011306918218675799
1958  0.0009045534574940639
11  0.0007753315349949119
6  0.005443473485276777
1961  0.0009853171590560338
1948  0.00035536028687266797
1976  0.0019706343181120677
1975  0.0017444959537385517
1977  0.0021160089809236136
1966  0.0015506630699898237
1941  0.00022613836437351597
2016  0.0017929541746757338
1962  0.0011468445621799737
1998  0.0031820898415416176
9  0.0013891356668658838
2022  0.0012599137443667318
2018  0.0013406774459287017
2021  0.0011629973024923678
2025  0.0010014698993684279
15  0.00029074932562309194
1953  0.0007914842753073059
1979  0.0023421473452971296
1999  0.0029397987368557075
2029  0.0007268733140577299
2028  0.0008237897559320938
2009  0.002245230903422766
1959  0.0010983863412427919
2047  0.00014537466281154597
1988  0.0027621185934193736
1947  0.00045227672874703195
26  0.00011306918218675799
2034  0.00041997124812224394
2041  0.000258443844998304
1987  0.0029559514771681015
16  0.00027459658531069796
1996  0.0029397987368557075
12  0.0004845822093718199
1964  0.0014375938878030657
2043  0.000306902065935486
2026  0.0009691644187436398
1957  0.0007591787946825179
2017  0.0018737178762377037
1950  0.0005330404303090019
1926  6.4610961249576e-05
18  0.00011306918218675799
2036  0.000258443844998304
1954  0.00056534591093379
1934  9.691644187436398e-05
1965  0.0010499281203056098
1956  0.0005814986512461839
1931  0.00011306918218675799
2020  0.0011791500428047618
2046  0.00011306918218675799
2037  0.00046842946905942593
2035  0.00033920754656027393
23  6.4610961249576e-05
1944  0.000258443844998304
1946  0.00035536028687266797
2042  0.000258443844998304
2059  6.4610961249576e-05
2050  8.076370156196999e-05
1951  0.0006299568721833659
2030  0.0006622623528081539
2040  0.00035536028687266797
2038  0.000306902065935486
17  0.00029074932562309194
2033  0.0004361239884346379
1914  1.6152740312394e-05
42  3.2305480624788e-05
1938  0.00017768014343633398
2027  0.0009530116784312459
2045  0.000129221922499152
22  8.076370156196999e-05
1927  6.4610961249576e-05
1943  0.00024229110468590995
2044  0.000129221922499152
1897  1.6152740312394e-05
20  8.076370156196999e-05
13  0.0005814986512461839
30  4.845822093718199e-05
1900  1.6152740312394e-05
2048  4.845822093718199e-05
2053  8.076370156196999e-05
1929  6.4610961249576e-05
1930  4.845822093718199e-05
2056  3.2305480624788e-05
61  1.6152740312394e-05
48  1.6152740312394e-05
1940  0.00022613836437351597
1937  0.00020998562406112197
27  3.2305480624788e-05
1933  4.845822093718199e-05
1939  0.00024229110468590995
39  3.2305480624788e-05
54  1.6152740312394e-05
2051  3.2305480624788e-05
1906  1.6152740312394e-05
1928  4.845822093718199e-05
1908  1.6152740312394e-05
33  1.6152740312394e-05
2055  1.6152740312394e-05
25  3.2305480624788e-05
1922  1.6152740312394e-05
2082  1.6152740312394e-05
36  1.6152740312394e-05
37  1.6152740312394e-05
1935  6.4610961249576e-05
21  6.4610961249576e-05
1932  4.845822093718199e-05
51  1.6152740312394e-05
1894  1.6152740312394e-05
2052  3.2305480624788e-05
1923  1.6152740312394e-05
2065  1.6152740312394e-05
2049  4.845822093718199e-05
46  1.6152740312394e-05
32  1.6152740312394e-05
28  4.845822093718199e-05
1907  1.6152740312394e-05
1919  3.2305480624788e-05
1924  1.6152740312394e-05
40  1.6152740312394e-05
31  1.6152740312394e-05
2062  1.6152740312394e-05
1918  1.6152740312394e-05
1913  1.6152740312394e-05
24  1.6152740312394e-05
1925  1.6152740312394e-05
1909  1.6152740312394e-05
2057  1.6152740312394e-05
38  1.6152740312394e-05
1893  1.6152740312394e-05
62  1.6152740312394e-05
