s  n(s, p, L)
2  0.10982592195363419
48  0.003415559772296015
8  0.0184803234056596
1  0.4031185545747051
6  0.027076973847042322
5  0.03537661909083409
9  0.014355251216896295
7  0.02136787393779391
30  0.003564062371091494
40  0.003448560349806122
4  0.04907185875752826
3  0.07205676099331738
45  0.0038445672799273987
10  0.012639221186370762
60  0.003217556307235377
55  0.0036135632373566536
15  0.007309627918488573
36  0.0038280669911723453
11  0.011649203861067568
18  0.005643098754228199
23  0.00457057998514974
66  0.001782031185545747
41  0.003399059483540962
69  0.0008415147265077139
64  0.002491543602013035
37  0.0035310617935813875
24  0.004075571322498144
20  0.004801584027720485
42  0.0032010560184803235
16  0.006567114924511179
25  0.0033495586172758024
39  0.0036960646811319197
29  0.003927068723702665
34  0.003069053708439898
21  0.004422077386354261
52  0.003415559772296015
17  0.006204108571900008
12  0.009471165745400545
13  0.008151142644996287
44  0.003894068146192558
50  0.0039105684349476115
31  0.0032670571735005363
67  0.0013530236779143636
14  0.008052140912465968
71  0.0005775101064268625
62  0.002838049665869153
47  0.0036465638148667602
49  0.003547562082336441
32  0.0032010560184803235
54  0.0032010560184803235
46  0.0034980612160712813
28  0.003448560349806122
65  0.0020625360943816516
35  0.0034320600610510685
59  0.0036630641036218136
53  0.003448560349806122
19  0.005379094134147348
51  0.004059071033743091
33  0.003300057751010643
57  0.0032340565959904297
56  0.003712564969886973
26  0.00410857190000825
58  0.003481560927316228
22  0.0038775678574375053
72  0.00029700519759095784
61  0.0026565464895635673
70  0.0006600115502021285
27  0.0036465638148667602
63  0.002458543024502929
38  0.0032010560184803235
43  0.003069053708439898
68  0.001237521656628991
73  0.0003795066413662239
76  6.600115502021286e-05
77  3.300057751010643e-05
74  0.00014850259879547892
75  6.600115502021286e-05
78  1.6500288755053215e-05
