s  n(s, p, L)
4  0.05250629768501815
10  0.013153580166761164
5  0.03822258875705577
6  0.029123434626355634
1  0.4628768329635694
2  0.12238784527599597
14  0.007686630264201183
3  0.07718379150796793
20  0.004209606258972214
49  0.0007665793343810283
7  0.022857004988797412
16  0.0061479881953362585
11  0.011376410193421456
22  0.003577918567121752
21  0.00399027025485747
8  0.018672622370298396
97  0.0001694370631786393
99  0.0001496968228083124
12  0.01004887902851697
98  0.0001442134227054438
50  0.0007468390940107014
23  0.0033673560031715986
17  0.005518493863526945
13  0.008669255562635234
56  0.0005960455911818153
9  0.01577574209595292
15  0.006997366871270602
25  0.0029363607550861276
57  0.0005922072111098072
26  0.0026852210303747463
38  0.00138072014590231
79  0.0002686866050405607
19  0.004634021426934242
40  0.001206348022631089
47  0.0008740539763972526
92  0.0001601152830037627
52  0.0007292922136815219
18  0.004992635793661848
44  0.0010451360596067524
31  0.0019169966759628575
61  0.0004918609892273121
151  3.509376065835895e-05
132  6.63491412447099e-05
90  0.00019685406369298223
33  0.0017629131330722503
24  0.0031266347386556675
32  0.0017925234936277408
113  0.00010144290190306884
27  0.002552522747885327
68  0.00037670958706707185
30  0.002086433739141497
51  0.0007183254134757848
42  0.0011312254412217894
66  0.0004172867478282994
48  0.0008307351155845908
163  2.9610360555490364e-05
65  0.00042715686801346285
74  0.00031968222599723856
78  0.0002873301653903139
139  6.470412121384931e-05
64  0.0004326402681163314
110  0.000108571322036798
54  0.0006223659116755845
28  0.0023907624448507034
41  0.0011893494823121964
101  0.0001442134227054438
37  0.0014223939866841112
29  0.002260805862412718
102  0.00012502152234540376
87  0.00020453082383699826
114  9.212112172819224e-05
35  0.001551253889101523
120  9.376614175905282e-05
34  0.0016488584109325838
63  0.0004660890087438298
138  5.209230097725157e-05
96  0.00016669536312720502
55  0.0006574596723339435
82  0.00023797956446449663
59  0.0005373732100811214
46  0.0009014709769115955
36  0.0014415858870441512
43  0.0010517161397301947
121  8.115432152245507e-05
60  0.0005368248700708346
39  0.0012929857442564125
117  7.896096148130763e-05
147  3.619044067893267e-05
193  1.4805180277745182e-05
115  0.00010637796199565057
58  0.0005774020308320621
126  8.279934155331565e-05
67  0.0004079649676534228
144  4.386720082294869e-05
71  0.00033064902620297574
129  6.963918130643104e-05
45  0.000938209757600815
103  0.0001365366625614278
171  2.741700051434293e-05
84  0.00023907624448507036
53  0.000643751172076772
83  0.00022810944427933318
135  6.251076117270188e-05
136  5.812404109040701e-05
145  4.660890087438298e-05
69  0.0003635494268201872
142  5.264064098753842e-05
204  1.2611820236597747e-05
62  0.0004666373487541167
91  0.0001946607036518348
148  4.715724088466984e-05
109  0.00010144290190306884
100  0.00015408354289060726
323  2.1933600411474344e-06
119  8.499270159446308e-05
88  0.0002116592439707274
234  6.580080123442303e-06
76  0.000286781825380027
207  1.59018602983189e-05
122  8.334768156360251e-05
81  0.00025388142476281554
187  1.7546880329179475e-05
106  0.00011460306214995345
124  8.389602157388936e-05
111  0.00011569974217052716
77  0.00026923494505084756
95  0.00015243852285974668
213  1.2611820236597747e-05
244  4.935060092581727e-06
137  5.812404109040701e-05
108  0.00011021634206765857
85  0.00022317438418675145
72  0.00032626230612068085
353  1.0966800205737172e-06
222  1.151514021602403e-05
165  2.796534052462979e-05
89  0.0002116592439707274
158  3.564210066864581e-05
105  0.00011734476220138773
196  1.59018602983189e-05
228  8.22510015430288e-06
73  0.00031968222599723856
262  4.935060092581727e-06
179  2.0288580380613766e-05
216  1.3708500257171465e-05
128  6.580080123442303e-05
125  6.305910118298874e-05
86  0.00021220758398101427
75  0.00029500692553432995
198  1.151514021602403e-05
230  7.676760144016021e-06
123  8.005764150188136e-05
181  1.9740240370326908e-05
70  0.0003695811669333427
93  0.00017163042321978675
281  3.2900400617211514e-06
146  3.509376065835895e-05
80  0.0002483980246599469
208  1.5353520288032042e-05
107  0.00012556986235569062
173  3.0707040576064084e-05
194  1.864356034975319e-05
94  0.00016998540318892617
149  5.209230097725157e-05
209  1.2611820236597747e-05
199  1.4805180277745182e-05
134  5.593068104925958e-05
153  3.344874062749837e-05
118  9.760452183106083e-05
152  3.9480480740653816e-05
130  6.251076117270188e-05
212  8.773440164589738e-06
127  6.963918130643104e-05
175  1.864356034975319e-05
182  1.645020030860576e-05
140  5.1543960966964705e-05
131  6.689748125499674e-05
183  1.4805180277745182e-05
195  1.0418460195450314e-05
141  4.386720082294869e-05
159  3.0707040576064084e-05
157  3.7835460709793245e-05
188  1.4805180277745182e-05
256  6.0317401131554444e-06
272  2.741700051434293e-06
116  8.663772162532366e-05
160  2.9610360555490364e-05
162  2.796534052462979e-05
301  1.6450200308605757e-06
312  2.741700051434293e-06
239  3.2900400617211514e-06
150  4.4963880843522406e-05
156  3.509376065835895e-05
176  2.303028043204806e-05
184  2.1933600411474345e-05
177  1.5353520288032042e-05
210  1.5353520288032042e-05
197  2.0288580380613766e-05
164  3.454542064807209e-05
104  0.00012666654237626434
313  3.8383800720080105e-06
112  0.00012885990241741176
298  1.6450200308605757e-06
167  3.125538058635094e-05
276  3.8383800720080105e-06
249  4.935060092581727e-06
133  6.141408115212817e-05
169  2.8513680534916647e-05
248  2.741700051434293e-06
186  2.5223640473195494e-05
190  1.59018602983189e-05
411  1.0966800205737172e-06
168  2.5223640473195494e-05
231  7.128420133729162e-06
235  7.676760144016021e-06
166  2.6868660504056073e-05
206  1.2611820236597747e-05
174  2.0288580380613766e-05
