s  n(s, p, L)
21  0.0033112582781456954
9  0.013245033112582781
1  0.5562913907284768
47  0.0033112582781456954
2  0.09933774834437085
10  0.006622516556291391
7  0.033112582781456956
40  0.0033112582781456954
3  0.07947019867549669
4  0.03642384105960265
18  0.0033112582781456954
28  0.0033112582781456954
227  0.0033112582781456954
433  0.0033112582781456954
8  0.009933774834437087
6  0.016556291390728478
5  0.03642384105960265
50  0.0033112582781456954
19  0.0033112582781456954
13  0.006622516556291391
22  0.0033112582781456954
51  0.0033112582781456954
11  0.0033112582781456954
14  0.016556291390728478
981  0.0033112582781456954
12  0.0033112582781456954
95  0.0033112582781456954
68  0.0033112582781456954
74  0.0033112582781456954
26  0.0033112582781456954
17  0.006622516556291391
163  0.0033112582781456954
23  0.006622516556291391
2461  0.0033112582781456954
67  0.0033112582781456954
73  0.0033112582781456954
207  0.0033112582781456954
