s  n(s, p, L)
1  0.5076952688347164
2  0.15907257019758222
5  0.0418039279554052
23  0.0007106741780979101
3  0.09671831392551246
24  0.0006366456178793779
4  0.06256153624068166
6  0.03038872396970751
10  0.010038272765632981
8  0.016671231761213476
7  0.02181621669640147
9  0.012658883797369024
11  0.007358438885722111
16  0.002916725272610173
12  0.00627762190653154
28  0.00022208568065559692
14  0.003982736539757038
20  0.0012288740996276362
38  5.181999215297262e-05
13  0.004871079262379426
15  0.003205436657462449
22  0.0008365227304694151
26  0.00036273994507080834
21  0.0009253570027316539
27  0.00032572566496154217
18  0.0018062968693321883
17  0.002117216822250024
19  0.0013251112279117282
33  0.00011104284032779846
30  0.0001702656885026243
31  0.00010363998430594524
29  0.00020727996861189048
25  0.0004293656492674874
35  7.402856021853231e-05
39  4.441713613111938e-05
36  2.220856806555969e-05
43  7.402856021853231e-06
32  0.00011104284032779846
34  6.662570419667908e-05
37  2.9611424087412924e-05
40  1.4805712043706462e-05
46  7.402856021853231e-06
41  7.402856021853231e-06
44  7.402856021853231e-06
