s  n(s, p, L)
7  0.02404388173806172
1  0.4891592120648685
5  0.04213348470712461
6  0.03125548425248869
14  0.006216787826342311
2  0.14256254046287228
3  0.08885421641735504
11  0.010295647495082895
4  0.05944851597391044
17  0.0039111736240602
8  0.018904603087591655
19  0.002973142484256348
80  6.707441787215322e-06
13  0.0072680185316509474
12  0.008595908239991165
20  0.0025852134537683604
10  0.012390574519035077
9  0.015255295341525478
26  0.0012090852942187181
42  0.00022088616515706348
75  1.1577228290262063e-05
23  0.001743107919798108
15  0.005228956228337489
21  0.0022332105840858684
16  0.004543694572871026
36  0.00041521821145789093
37  0.0003590778425265408
18  0.0033992028618908335
22  0.0019956936386070793
61  3.6844988447580054e-05
51  8.82074536400919e-05
38  0.0003243461576557546
24  0.0015352691071586412
41  0.0002491860565332596
47  0.0001346082495653486
25  0.0013918401122292835
29  0.0008692109494117389
43  0.00019644534987762135
31  0.0006962875871714755
44  0.00018486812158735927
56  6.0826389905980044e-05
33  0.0005597497995577499
58  4.924916161571798e-05
27  0.0010757634033522875
28  0.0009542943890687443
32  0.0006177278237732687
40  0.00026857331978123814
54  7.534386665091183e-05
49  0.00010447070290498385
35  0.0004418642130783354
30  0.0007810953785358555
60  3.9969002430666646e-05
53  7.690587364245513e-05
39  0.00030082417001839676
45  0.00016042730630791714
34  0.0005056308514389851
52  8.581850177067275e-05
48  0.0001204583038772505
46  0.00014388840875039993
65  2.839177414040458e-05
57  5.53134240534743e-05
50  0.00010281681314923212
95  2.2051863410022976e-06
62  3.252649852978389e-05
76  1.0934048940803059e-05
59  4.640079592525668e-05
73  1.4425593980723363e-05
55  6.22965141333149e-05
88  1.9295380483770104e-06
103  1.1944759347095778e-06
67  2.1316801296355542e-05
82  5.696731380922602e-06
94  2.2051863410022976e-06
81  5.788614145131032e-06
63  2.8851187961446726e-05
64  2.9861898367739446e-05
66  2.2051863410022975e-05
70  1.892784942693639e-05
78  9.555807477676623e-06
74  1.1669111054470492e-05
77  7.99380048613333e-06
71  1.4976890565973937e-05
72  1.2679821460763212e-05
86  4.410372682004595e-06
83  4.318489917796166e-06
90  2.0214208125854395e-06
107  8.269448778758616e-07
69  1.892784942693639e-05
79  7.626269429299613e-06
92  2.2970691052107266e-06
84  4.86978650304674e-06
68  1.8835966662727957e-05
93  2.5727173978360137e-06
99  8.269448778758616e-07
96  1.1944759347095778e-06
104  1.1944759347095778e-06
105  5.512965852505744e-07
111  5.512965852505744e-07
85  4.686020974629882e-06
89  3.3996622757118756e-06
87  4.042841625170879e-06
91  2.664600162044443e-06
109  3.675310568337163e-07
98  1.9295380483770104e-06
97  1.8376552841685814e-06
129  1.8376552841685815e-07
120  3.675310568337163e-07
123  1.8376552841685815e-07
110  3.675310568337163e-07
100  1.1025931705011488e-06
117  1.8376552841685815e-07
131  1.8376552841685815e-07
115  8.269448778758616e-07
118  2.756482926252872e-07
101  9.188276420842907e-07
108  7.350621136674326e-07
102  8.269448778758616e-07
112  1.8376552841685815e-07
144  1.8376552841685815e-07
119  9.188276420842907e-08
160  9.188276420842907e-08
116  2.756482926252872e-07
150  9.188276420842907e-08
122  3.675310568337163e-07
127  9.188276420842907e-08
114  4.5941382104214534e-07
132  1.8376552841685815e-07
106  4.5941382104214534e-07
113  2.756482926252872e-07
151  9.188276420842907e-08
139  9.188276420842907e-08
121  1.8376552841685815e-07
140  9.188276420842907e-08
125  9.188276420842907e-08
133  1.8376552841685815e-07
141  9.188276420842907e-08
126  9.188276420842907e-08
146  9.188276420842907e-08
