s  n(s, p, L)
6  0.028450441770775343
21  0.003898919154361603
3  0.07585318152841439
4  0.05136338855347835
2  0.12044909756456372
1  0.46880201227092966
31  0.0019336665964756413
8  0.018294040781947254
32  0.0018491489097795329
12  0.009628237561044558
5  0.03723956004649915
33  0.001757131360100152
70  0.0003948966316961517
7  0.022433676692445042
15  0.00679083747508459
17  0.005498553391813034
44  0.00100714506177291
9  0.015195587772915686
10  0.01292341774525273
24  0.0030634055723981965
18  0.004997504853276719
58  0.0005808066968007315
16  0.006096955920997597
29  0.0022156325990198254
11  0.011128354385833336
25  0.002862495781327072
22  0.0035403680125074637
30  0.002080779293455216
23  0.003334842921138941
62  0.0005140290706227483
282  5.047984700279514e-06
36  0.0014934823306112677
19  0.004571599172707422
205  1.8316973055299952e-05
28  0.002375725828085833
34  0.0016553062972887995
59  0.0005717203243402283
49  0.0008371000914406371
61  0.0005174905458457971
42  0.0011147392499560103
26  0.0026964891987550227
66  0.0004504244633992264
20  0.004214057627793338
35  0.0015950189371540327
57  0.0006014313200047306
52  0.0007286405344517744
100  0.00016845846085504208
14  0.007581207651014068
13  0.00848205657781252
90  0.0002177844827834876
85  0.00023840910598748677
51  0.0007540246860874658
27  0.0024975986015640097
204  1.6153551040894446e-05
60  0.0005453265757644812
79  0.0002920619719447433
63  0.0004879237783155885
244  8.221003654740923e-06
54  0.0007019583296074399
146  5.5527831703074655e-05
41  0.0011783438571795323
92  0.00020451549442846717
46  0.0009397905230577519
182  2.509569536710387e-05
56  0.0006356133878323377
95  0.00019326569995355855
78  0.0002984080098536661
84  0.00025903372919148593
83  0.0002606202386687166
55  0.0006517669388732321
75  0.0003243690740265322
38  0.0013505522495262105
39  0.0012870918704369824
43  0.001082720604142809
106  0.0001429300810850571
45  0.0009840685602859178
74  0.00034773403178211165
69  0.00040427146042524225
147  5.8556622523242366e-05
68  0.0004302325245981083
81  0.0002741776832923245
47  0.0008953682576952921
104  0.00014826652205392402
64  0.00047162599914040034
118  0.00011466136676349182
127  8.538305550187064e-05
72  0.0003781661681180825
115  0.000108315328854569
82  0.00026797587351769535
134  6.980641699815099e-05
110  0.00012793035511851226
109  0.00012980532086433037
126  8.826761818774465e-05
37  0.0014127145754067954
53  0.0006921508164754683
76  0.0003139846483573858
40  0.0012115163280670834
97  0.00019167919047632784
227  1.1826707012083434e-05
50  0.0007931105104810585
264  8.653688057622024e-06
149  5.697011304601166e-05
87  0.00024086098427047968
172  2.9710995664502284e-05
206  1.7163147980950347e-05
65  0.0004641261361571279
94  0.0001872081183132231
71  0.0003801853619981943
112  0.00012634384564128156
121  9.446942796237377e-05
73  0.0003510512788708668
130  8.740224938198245e-05
108  0.00013341102422167287
190  2.509569536710387e-05
142  5.5527831703074655e-05
48  0.0008813781286688032
114  0.00011552673556925402
67  0.0004348478248955067
251  7.932547386153523e-06
160  4.326844028811012e-05
158  4.4854949765340825e-05
91  0.00020840965405439707
143  5.999890386617937e-05
117  0.0001055749943029887
102  0.00015071840033691693
99  0.00016586235443775548
129  8.105621147305962e-05
96  0.0001870638901789294
175  3.5047436633369196e-05
116  0.00011523827930066662
125  9.490211236525487e-05
107  0.00013860323705624608
77  0.00031066740126863067
113  0.00012302659855252646
230  1.1682478877789732e-05
119  0.00010095969400559028
168  3.273978648466999e-05
135  7.326789222119981e-05
218  1.4999725966544842e-05
133  7.413326102696201e-05
