s  n(s, p, L)
86  0.06884331171768963
73  0.004599607902277183
5  0.004976624943447444
90  0.02322424973608807
89  0.03151862464183381
82  0.06522394812245513
84  0.07201025486351983
1  0.17568994118534156
3  0.016588749811491478
76  0.012366158950384558
71  0.0021866988387875133
2  0.03046297692655708
87  0.059568692504901224
81  0.05353641984617705
80  0.04433720404162268
8  0.0008294374905745739
77  0.020283516814960035
83  0.07427235711054139
79  0.031367817825365706
78  0.026240386065450157
4  0.007841954456341426
85  0.07299049917056251
92  0.007087920374000905
66  0.0007540340823405218
88  0.04365857336751621
91  0.012366158950384558
74  0.0055798522093198615
93  0.0027899261046599308
72  0.003016136329362087
9  0.0005278238576383652
75  0.008143568089277636
95  0.0005278238576383652
26  7.540340823405218e-05
53  7.540340823405218e-05
67  0.00045242044940431306
12  0.0003016136329362087
6  0.003770170411702609
70  0.001281857939978887
68  0.0009802443070426783
7  0.0017342783893832
69  0.0012064545317448348
54  7.540340823405218e-05
62  7.540340823405218e-05
94  0.0006786306741064696
11  0.0003016136329362087
14  0.0003770170411702609
60  0.00015080681646810435
57  7.540340823405218e-05
34  7.540340823405218e-05
44  7.540340823405218e-05
64  0.00045242044940431306
10  0.0009048408988086261
65  0.00045242044940431306
17  0.00015080681646810435
61  0.00015080681646810435
22  0.00015080681646810435
96  0.00015080681646810435
23  7.540340823405218e-05
56  0.00015080681646810435
63  0.0003016136329362087
13  0.00022621022470215653
21  0.00015080681646810435
51  7.540340823405218e-05
15  0.00015080681646810435
55  7.540340823405218e-05
35  7.540340823405218e-05
38  7.540340823405218e-05
24  7.540340823405218e-05
52  7.540340823405218e-05
20  0.00022621022470215653
58  0.00022621022470215653
36  0.00022621022470215653
45  7.540340823405218e-05
16  7.540340823405218e-05
49  7.540340823405218e-05
