s  n(s, p, L)
1  0.4775574776608262
2  0.1497917130409896
3  0.09647979139504563
5  0.044280853499538905
22  0.0016535758577924762
10  0.012338219861990015
8  0.019294368302222788
4  0.06338442458740103
9  0.014516488059274335
13  0.007051547047413108
7  0.024652590072184948
23  0.001438928991636722
17  0.003434349858492066
18  0.0030289057779756415
12  0.00856202499443508
11  0.00959550990555538
6  0.032538874932425986
25  0.0010334849111202976
27  0.000731389321715903
20  0.0022975164562597386
14  0.005541069100391135
16  0.004173689064139664
33  0.00033389512513117307
34  0.0003100454733360893
15  0.005183324323464878
30  0.0005008426876967596
49  2.3849651795083792e-05
21  0.0018920723757433141
26  0.0009380863039399625
36  0.00019874709829236493
31  0.00046109326803828665
24  0.001399179571978249
28  0.0006836900181257353
37  0.00023054663401914332
19  0.0023611155277132954
29  0.0006677902502623461
32  0.0003815944287213407
41  4.7699303590167584e-05
43  3.9749419658472986e-05
35  0.0002941457054727001
38  0.0002146468661557541
39  0.00011129837504372437
45  3.179953572677839e-05
42  7.154895538525138e-05
50  1.5899767863389194e-05
46  2.3849651795083792e-05
44  4.7699303590167584e-05
47  1.5899767863389194e-05
40  9.539860718033517e-05
52  7.949883931694597e-06
48  2.3849651795083792e-05
51  7.949883931694597e-06
61  7.949883931694597e-06
