s  n(s, p, L)
66  0.009391160113181774
1  0.3859644843399356
68  0.007976387940286857
10  0.009537515855205386
38  0.002683188603766221
2  0.09722899795101961
4  0.04090642989559957
3  0.06293296907015318
5  0.030124890233193483
42  0.003097863206166455
74  0.0033173968192018732
62  0.007951995316616256
77  0.0010244901941652844
52  0.00448824275539077
12  0.007976387940286857
58  0.006903112498780369
55  0.0051224509708264225
49  0.0038296419162845157
7  0.016221094740950338
34  0.0018782320226363547
17  0.004317494389696556
20  0.0036101083032490976
61  0.007708069079910235
78  0.0007561713337886623
72  0.005415162454873646
6  0.021904576056200605
13  0.006415260025368329
47  0.0038296419162845157
67  0.008781344521416724
71  0.006561615767391941
51  0.004293101766025954
9  0.01104985852278271
76  0.0018294467752951508
44  0.0030002927114840473
65  0.00873255927407552
69  0.008269099424334082
19  0.004219923895014147
18  0.0037808566689433117
15  0.005537125573226657
50  0.00436627963703776
64  0.009171626500146355
70  0.006756756756756757
63  0.009415552736852377
35  0.002488047614401405
28  0.002658795980095619
59  0.007537320714216021
30  0.002634403356425017
45  0.0034637525612254854
14  0.005732266562591472
40  0.002951507464142843
21  0.0032930041955312713
56  0.0055859108205678605
41  0.0025612254854132112
11  0.008781344521416724
73  0.00436627963703776
16  0.004390672260708362
25  0.0029759000878134454
23  0.0027563664747780273
8  0.012220704458971606
57  0.0066104010147331445
60  0.007610498585227827
53  0.0046833837447555855
26  0.0028051517221192313
32  0.002488047614401405
24  0.0029759000878134454
36  0.002951507464142843
29  0.002683188603766221
48  0.0036832861742609035
54  0.004927309981461606
31  0.002634403356425017
39  0.003097863206166455
46  0.0034149673138842815
33  0.002488047614401405
27  0.002536832861742609
22  0.002853936969460435
75  0.0020733730120011708
37  0.002731973851107425
79  0.0004878524734120402
43  0.0031710410771782615
80  0.0002439262367060201
81  9.757049468240804e-05
84  4.878524734120402e-05
82  2.439262367060201e-05
