s  n(s, p, L)
93  0.11009601939032349
88  0.0688915819893726
86  0.02955159876946024
91  0.12324042136664491
1  0.0577048569031416
89  0.09210403654330195
94  0.0825953202200056
92  0.12529132096578727
85  0.019110655355644636
90  0.11391815046145241
95  0.05733196606693391
97  0.013330847394425282
96  0.025170131444019764
87  0.044560454926820176
98  0.0043814673254404775
83  0.005406917125011653
84  0.009042602778036729
100  9.322270905192505e-05
81  0.0024237904353500515
2  0.005873030670271278
80  0.0007457816724154004
78  0.0003728908362077002
82  0.003542462943973152
5  0.0003728908362077002
4  0.0009322270905192505
99  0.0006525589633634754
3  0.0027034585625058264
72  9.322270905192505e-05
10  9.322270905192505e-05
79  0.0002796681271557752
9  9.322270905192505e-05
