s  n(s, p, L)
8  0.01036468330134357
5  0.022683650322805792
46  0.0013261210957948002
1  0.3566218809980806
4  0.031163845751177807
73  0.01887977665328913
13  0.004362240446693422
56  0.004850811376723085
2  0.0884662362589426
64  0.010259989530622928
33  0.0013610190193683476
3  0.05168382481242366
24  0.0012912231722212529
71  0.01887977665328913
63  0.009457337288431338
62  0.008131216192636539
76  0.013470598499389287
6  0.017030186703891118
51  0.0026522421915896005
68  0.014412842435875066
7  0.012074681556447392
75  0.01675100331530274
26  0.0012563252486477055
35  0.0011865294015006107
77  0.011202233467108707
74  0.01713488047461176
57  0.0051648926888850115
9  0.008410399581224918
72  0.01982202058977491
70  0.01860059326470075
49  0.0025824463444425057
20  0.0021287733379863898
10  0.006770197173268191
53  0.003245506892339906
66  0.01476182167161054
67  0.013784679811551213
31  0.0015006107136625371
41  0.002163671261559937
69  0.01755365555749433
29  0.0010818356307799686
25  0.0017448961786773686
18  0.0026522421915896005
48  0.002233467108707032
60  0.007258768103297853
79  0.005827953236782412
81  0.003140813121619264
65  0.01130692723782935
42  0.0020240795672657476
14  0.004327342523119874
40  0.0011516314779270633
21  0.001116733554353516
55  0.0038038736695166636
61  0.007468155644739138
52  0.003175711045192811
17  0.002687140115163148
47  0.0022683650322805793
11  0.005409178153899843
50  0.00279183388588379
36  0.0011865294015006107
59  0.005827953236782412
58  0.004885709300296632
37  0.001221427325074158
78  0.008515093351945559
16  0.00279183388588379
39  0.001779794102250916
30  0.0014657127900889898
22  0.0013610190193683476
15  0.003419996510207643
12  0.004152852905252137
44  0.0020938754144128424
80  0.004885709300296632
54  0.003245506892339906
27  0.001395916942941895
23  0.0016402024079567267
85  0.00038387715930902113
82  0.0017099982551038214
45  0.001675100331530274
43  0.0014308148665154424
38  0.0013610190193683476
28  0.0018495899493980107
84  0.000837550165765137
32  0.0015355086372360845
19  0.002407956726574769
83  0.0009422439364857791
87  3.4897923573547374e-05
34  0.0008724480893386843
86  0.00010469377072064213
89  3.4897923573547374e-05
88  3.4897923573547374e-05
