s  n(s, p, L)
1  0.6522054025370555
4  0.04070188522297835
3  0.08276623665320933
2  0.17633898159236444
7  0.006776476662388045
6  0.011136368525596437
5  0.02096763784214036
8  0.0038937850028324954
11  0.0007959671000265323
9  0.002093895434304031
13  0.00027249324145052457
10  0.0012835865847274708
16  0.00010039224685019325
12  0.00040873986217578685
14  0.00012190487117523467
19  1.4341749550027608e-05
20  2.1512624325041413e-05
15  6.453787297512423e-05
17  2.8683499100055216e-05
18  7.170874775013804e-06
