s  n(s, p, L)
6  0.023299704235538163
1  0.5674232529101051
2  0.1675433720434583
5  0.03551029486083006
10  0.005753122321621718
3  0.09338745387902957
7  0.01584824097577628
4  0.05593967512459926
16  0.0009313188125487376
8  0.011229982806655964
26  7.362925600679337e-05
18  0.0005662150637547209
11  0.004080947152145122
9  0.007813524477315951
15  0.0012641717301992827
12  0.0030096719025586773
17  0.0006988694258165469
14  0.001706860025612028
13  0.0022426497769672473
25  9.614398718242439e-05
21  0.0002458365241879712
19  0.0004055694142853535
28  3.6510374879401665e-05
23  0.00013660965267376125
27  4.715923421922716e-05
32  1.5516909323745708e-05
24  0.00010892261839021498
22  0.00016581795257728259
29  2.5253009291586154e-05
20  0.0003018190990030538
37  6.693568727890306e-06
34  7.6063280998753474e-06
35  7.3020749758803335e-06
30  2.4644503043596124e-05
31  1.7038174943720777e-05
41  1.8255187439700834e-06
33  1.1257365587815515e-05
40  1.2170124959800555e-06
47  3.042531239950139e-07
45  6.085062479900278e-07
36  3.042531239950139e-06
38  3.346784363945153e-06
43  9.127593719850417e-07
42  1.2170124959800555e-06
39  2.434024991960111e-06
44  1.5212656199750694e-06
50  3.042531239950139e-07
48  3.042531239950139e-07
59  3.042531239950139e-07
