s  n(s, p, L)
89  0.10093752738105669
91  0.07622886182423552
1  0.09620608078506966
85  0.06483834224130378
84  0.046963988434241655
86  0.08157364409007273
87  0.09462893191974064
88  0.10461754140015772
90  0.08972224656093929
93  0.036099185139752916
92  0.055375449049329714
80  0.008849557522123894
83  0.03531061070708841
2  0.013230526592482257
82  0.020590554630684307
3  0.007535266801016385
81  0.012704810304039254
94  0.017786734425654954
5  0.0014019101025146764
74  0.0007009550512573382
95  0.009112415666345396
96  0.003680014019101025
75  0.001314290721107509
79  0.006220976079908876
6  0.0010514325768860072
76  0.0011390519582931745
78  0.0032419171120651887
73  0.0003504775256286691
77  0.002278103916586349
98  8.761938140716727e-05
4  0.002628581442215018
10  0.0004380969070358363
68  8.761938140716727e-05
8  0.0003504775256286691
70  8.761938140716727e-05
72  0.0002628581442215018
7  0.0003504775256286691
71  8.761938140716727e-05
43  8.761938140716727e-05
37  8.761938140716727e-05
97  0.0010514325768860072
11  8.761938140716727e-05
67  8.761938140716727e-05
69  8.761938140716727e-05
12  0.00017523876281433454
9  0.0002628581442215018
