s  n(s, p, L)
10  0.014484430832057173
4  0.06090935608546635
1  0.449928899584336
2  0.13810799970830598
5  0.04319806023481368
6  0.034146430394516154
13  0.009179245970976446
3  0.08970502442937359
22  0.0030536716983883905
7  0.025678188580179392
11  0.012661343250929775
28  0.0016316633851090206
36  0.0008021585356960549
9  0.016945599066579158
12  0.01016371326478524
17  0.005250492233646905
19  0.004575949828629767
32  0.001330853934223
8  0.020154233209363378
24  0.0025249762998614455
18  0.00493145190694961
15  0.007082695252679939
20  0.0037646758550280756
27  0.0017137023262597535
16  0.006070881645154233
44  0.00040107926784802744
29  0.0015313935681470138
23  0.0031812878290673084
33  0.001458470064901918
26  0.002050973528768322
14  0.007319696638226501
31  0.001412892875373733
25  0.0024064756070881644
21  0.0031265952016334866
30  0.0015131626923357397
57  2.734631371691096e-05
46  0.0002916940129803836
39  0.0005833880259607672
43  0.0003646175162254795
54  7.29235032450959e-05
38  0.0006107343396776782
34  0.0010118136075257056
35  0.0009206592284693357
41  0.00045577189528184936
48  0.00017319332020710276
37  0.000683657842922774
51  0.00012761613067891782
40  0.0006563115292058631
47  0.0002916940129803836
42  0.0004375410194705754
50  0.0001458470064901918
45  0.00022788594764092468
49  0.00020053963392401372
55  6.380806533945891e-05
59  2.734631371691096e-05
58  2.734631371691096e-05
52  8.203894115073288e-05
53  8.203894115073288e-05
62  9.115437905636987e-06
61  2.734631371691096e-05
