s  n(s, p, L)
84  0.023877691250572607
73  0.020671094823637198
1  0.2727324782409528
74  0.02582455336692625
78  0.046610169491525424
75  0.030863490609253322
82  0.038307375171781954
79  0.046209344938158495
88  0.004409070087036188
2  0.05405405405405406
3  0.03143609711406321
67  0.00532524049473202
5  0.012196518552450755
72  0.018495190105359598
85  0.016548327989005955
76  0.03727668346312414
70  0.01059322033898305
77  0.04306000916170408
62  0.002462207970682547
83  0.0315506184150252
4  0.017865322950068714
64  0.004008245533669262
12  0.0016605588639486944
71  0.01488776912505726
13  0.0010879523591387997
87  0.0068140174072377465
81  0.0440334402198809
66  0.004695373339441136
80  0.04334631241410902
68  0.007615666513971599
8  0.004580852038479157
65  0.003721942281264315
63  0.002977553825011452
58  0.000744388456252863
17  0.0010879523591387997
90  0.0009734310581768209
89  0.002061383417315621
57  0.000744388456252863
9  0.0036074209803023363
86  0.010077874484654145
54  0.000744388456252863
10  0.0024049473202015577
48  0.0005153458543289052
28  0.00022904260192395785
69  0.009218964727439303
59  0.001603298213467705
60  0.0022904260192395786
20  0.0006871278057718735
6  0.008875400824553367
61  0.0019468621163536417
14  0.0012597343105817682
37  0.00017178195144296838
36  0.00022904260192395785
25  0.0002863032524049473
50  0.0006298671552908841
7  0.005096197892808062
45  0.00017178195144296838
21  0.0006298671552908841
15  0.0006298671552908841
49  0.00040082455336692627
51  0.0005726065048098947
52  0.0006298671552908841
47  0.00034356390288593677
53  0.0005153458543289052
11  0.0022904260192395786
46  0.00022904260192395785
19  0.0009161704076958314
34  0.00034356390288593677
31  0.00022904260192395785
39  0.00011452130096197893
24  0.00022904260192395785
33  0.0002863032524049473
18  0.0006298671552908841
22  0.00017178195144296838
55  0.0009734310581768209
27  0.0002863032524049473
26  0.00034356390288593677
40  0.00017178195144296838
93  5.7260650480989464e-05
91  0.00022904260192395785
42  0.00017178195144296838
38  0.00034356390288593677
41  0.00017178195144296838
32  0.00011452130096197893
56  0.0006871278057718735
16  0.0008016491067338525
29  0.00022904260192395785
23  0.00017178195144296838
35  0.00011452130096197893
92  0.00017178195144296838
44  0.00017178195144296838
30  0.00011452130096197893
43  5.7260650480989464e-05
