s  n(s, p, L)
4  0.059897205176758686
5  0.03977960334296738
1  0.5326964420462149
2  0.1654612241411222
3  0.09822458248501502
7  0.01905690732804647
6  0.02653160015376511
13  0.003217677292595071
10  0.007531642866295542
16  0.0014379885245668239
8  0.013781909819610746
15  0.0021641015419223484
12  0.004556003246152313
9  0.010158463487905235
21  0.0006976379970670729
22  0.00047695658983157026
11  0.0058516166692768766
17  0.001331207198485129
19  0.0009539131796631405
18  0.001217307117331321
24  0.00026339393766818057
30  5.695004057690391e-05
14  0.0028047894984125177
20  0.000633569201418056
23  0.0003132252231729715
37  1.4237510144225978e-05
38  1.4237510144225978e-05
26  0.00014949385651437277
27  0.00011390008115380783
25  0.00022780016230761565
29  7.11875507211299e-05
35  2.1356265216338966e-05
36  5.695004057690391e-05
28  0.00011390008115380783
41  1.4237510144225978e-05
33  1.4237510144225978e-05
32  2.8475020288451956e-05
39  7.118755072112989e-06
31  4.271253043267793e-05
34  7.118755072112989e-06
42  7.118755072112989e-06
