s  n(s, p, L)
1  0.5861780235141064
2  0.17484724134828972
5  0.032274806413441375
9  0.006089586115743656
6  0.019576635365271367
3  0.09381422610356448
4  0.0536506376765461
7  0.011978492689036668
8  0.008470060688261631
10  0.0036814316063359374
13  0.0013701568760423226
17  0.00042211903756859433
12  0.0021451951089551517
11  0.002864873468088493
16  0.0003390792268993627
19  0.0001522396528935914
15  0.0006089586115743656
20  0.00011763973178141154
18  0.00022143949511795112
14  0.0008442380751371887
23  7.61198264467957e-05
25  2.767993688974389e-05
22  7.61198264467957e-05
21  0.00011763973178141154
24  4.1519905334615835e-05
26  6.9199842224359725e-06
30  6.9199842224359725e-06
