s  n(s, p, L)
2  0.17263299371696095
1  0.6759955226197577
5  0.018076932504309886
6  0.009337053589666076
3  0.07664204652226843
4  0.03618376867958135
9  0.001487666778328826
10  0.0008503754299674001
7  0.004968748212724584
11  0.00046800062095054456
8  0.002711429575220805
12  0.00027526084008072356
13  0.00015809727680504603
18  1.160197070093878e-05
16  3.112923124688504e-05
17  1.5523763613932168e-05
14  8.78318204472478e-05
20  4.085200951034782e-06
15  5.0329675716748504e-05
21  2.1243044945380863e-06
22  2.042600475517391e-06
19  6.209505445572868e-06
29  1.6340803804139125e-07
23  6.53632152165565e-07
25  1.6340803804139125e-07
26  8.170401902069563e-08
24  1.6340803804139125e-07
