s  n(s, p, L)
4  0.04345134317737057
1  0.6417648105319338
2  0.174986657178438
6  0.012481764810531934
3  0.0850026685643124
7  0.007222914072229141
5  0.023405088062622308
8  0.00461839530332681
11  0.0009606831524639744
9  0.0029105141433908555
10  0.001544209215442092
12  0.0005265966909802527
14  0.00026329834549012633
13  0.00044831880448318803
20  1.4232342999466286e-05
16  0.00013520725849492973
19  1.4232342999466286e-05
21  1.4232342999466286e-05
22  7.116171499733143e-06
15  0.000149439601494396
17  2.8464685998932573e-05
28  7.116171499733143e-06
18  4.2697028998398864e-05
