s  n(s, p, L)
83  0.0621619771342507
80  0.05387827753816663
86  0.03895392619976724
87  0.0306017662764428
1  0.21092626822756214
84  0.05942356404463613
89  0.013760525775313205
76  0.024782638461011842
93  0.0006846032724036421
91  0.0031491750530567536
81  0.05819127815430958
70  0.003970698979941124
12  0.0010953652358458273
79  0.045936879578284386
85  0.04833299103169713
2  0.04203464092558362
77  0.03265557609365373
82  0.06435270760594236
72  0.006914493051276785
68  0.0033545560347778463
5  0.008352159923324434
90  0.007462175669199699
75  0.019168891627301978
3  0.023892654206887107
74  0.014924351338399398
92  0.0015745875265283768
78  0.03957006914493051
71  0.0051345245430273155
9  0.0014376668720476485
6  0.0054768261792291365
73  0.011022112685698637
4  0.010337509413294995
88  0.018963510645580887
7  0.0028068734168549326
59  0.0002738413089614568
69  0.00390223865270076
55  0.0002738413089614568
8  0.0021907304716916546
66  0.0014376668720476485
11  0.0008215239268843705
17  0.00041076196344218524
63  0.0007530635996440063
65  0.0015061271992880126
67  0.001985349489970562
94  0.00020538098172109262
10  0.0017115081810091053
64  0.0010953652358458273
48  0.0001369206544807284
28  0.00020538098172109262
45  0.0001369206544807284
24  6.84603272403642e-05
13  0.00047922229068254944
16  0.0002738413089614568
49  0.0001369206544807284
39  0.00020538098172109262
37  0.00047922229068254944
41  6.84603272403642e-05
26  0.0001369206544807284
61  0.00041076196344218524
51  0.00020538098172109262
25  6.84603272403642e-05
57  0.00020538098172109262
58  0.00034230163620182103
62  0.00034230163620182103
15  0.00047922229068254944
23  0.00020538098172109262
60  0.00047922229068254944
20  0.0001369206544807284
14  0.00034230163620182103
52  0.00020538098172109262
18  0.0002738413089614568
56  0.00020538098172109262
54  0.0001369206544807284
21  0.0002738413089614568
36  0.0001369206544807284
95  6.84603272403642e-05
47  0.0001369206544807284
30  0.0001369206544807284
19  6.84603272403642e-05
34  6.84603272403642e-05
43  0.0001369206544807284
22  6.84603272403642e-05
53  0.0001369206544807284
27  0.0002738413089614568
50  6.84603272403642e-05
42  6.84603272403642e-05
33  6.84603272403642e-05
31  6.84603272403642e-05
