p  P_flow  avg_s_max
0.0  0.000000  0.000000
0.01  0.000000  0.676000
0.02  0.000000  0.965000
0.03  0.000000  1.106000
0.04  0.000000  1.218000
0.05  0.000000  1.363000
0.06  0.000000  1.548000
0.07  0.000000  1.684000
0.08  0.000000  1.829000
0.09  0.000000  1.961000
0.1  0.000000  2.166000
0.11  0.000000  2.330000
0.12  0.000000  2.526000
0.13  0.000000  2.700000
0.14  0.000000  2.851000
0.15  0.000000  3.030000
0.16  0.000000  3.288000
0.17  0.000000  3.487000
0.18  0.000000  3.676000
0.19  0.000000  3.827000
0.2  0.000000  4.053000
0.21  0.000000  4.328000
0.22  0.000000  4.508000
0.23  0.000000  4.860000
0.24  0.000000  5.171000
0.25  0.000000  5.359000
0.26  0.000000  5.693000
0.27  0.000000  6.068000
0.28  0.000000  6.435000
0.29  0.001000  6.777000
0.3  0.001000  7.219000
0.31  0.001000  7.482000
0.32  0.002000  7.657000
0.33  0.001000  8.342000
0.34  0.004000  8.987000
0.35000000000000003  0.007000  9.536000
0.36  0.009000  9.896000
0.37  0.013000  10.644000
0.38  0.011000  11.156000
0.39  0.016000  11.746000
0.4  0.014000  11.947000
0.41000000000000003  0.025000  12.991000
0.42  0.035000  13.776000
0.43  0.042000  14.589000
0.44  0.056000  15.798000
0.45  0.059000  16.661000
0.46  0.079000  17.721000
0.47000000000000003  0.111000  18.810000
0.48  0.121000  19.647000
0.49  0.123000  20.624000
0.5  0.158000  22.609000
0.51  0.194000  24.217000
0.52  0.231000  25.511000
0.53  0.262000  26.513000
0.54  0.296000  28.089000
0.55  0.324000  29.731000
0.56  0.367000  32.013000
0.5700000000000001  0.426000  33.774000
0.58  0.473000  36.182000
0.59  0.496000  38.133000
0.6  0.578000  40.857000
0.61  0.602000  42.304000
0.62  0.638000  44.889000
0.63  0.701000  47.158000
0.64  0.740000  48.960000
0.65  0.758000  51.042000
0.66  0.817000  53.611000
0.67  0.830000  55.456000
0.68  0.874000  57.197000
0.6900000000000001  0.888000  60.881000
0.7000000000000001  0.904000  61.925000
0.71  0.929000  63.656000
0.72  0.946000  65.595000
0.73  0.957000  68.295000
0.74  0.968000  69.520000
0.75  0.975000  71.629000
0.76  0.987000  73.027000
0.77  0.985000  74.746000
0.78  0.987000  75.412000
0.79  0.994000  77.259000
0.8  0.992000  78.602000
0.81  0.998000  80.114000
0.8200000000000001  0.998000  81.050000
0.8300000000000001  0.999000  82.355000
0.84  0.999000  83.587000
0.85  1.000000  84.542000
0.86  1.000000  85.541000
0.87  1.000000  86.830000
0.88  1.000000  87.883000
0.89  1.000000  88.879000
0.9  1.000000  89.904000
0.91  1.000000  90.886000
0.92  1.000000  91.926000
0.93  1.000000  93.014000
0.9400000000000001  1.000000  94.023000
0.9500000000000001  1.000000  95.029000
0.96  1.000000  95.933000
0.97  1.000000  97.077000
0.98  1.000000  98.003000
0.99  1.000000  99.063000
